x,y,species
-125.25132386,50.31969887,Abies amabilis
-81.79692041,50.54059925,Abies balsamea
-121.41024097,36.050838829999996,Abies bracteata
-114.38284461,38.03176127,Abies concolor
-82.58955843,35.88741408,Abies fraseri
-120.19392356,46.80162557,Abies grandis
-122.64362947,53.47116287,Abies lasiocarpa
-120.97156634,39.80476396,Abies magnifica
-122.28288761,44.71517964,Abies procera
-100.86218908,26.77149621,Acacia berlandieri
-80.30512458,25.29557063,Acacia choriophylla
-103.02848127,25.82790009,Acacia farnesiana
-106.92243914,30.09945447,Acacia greggii
-81.37246964,24.68723994,Acacia macracantha
-99.33903354,26.49843135,Acacia rigidula
-101.86403318,29.02534069,Acacia roemeriana
-100.70840469,24.02945347,Acacia tortuosa
-99.91687226,27.15613971,Acacia wrightii
-86.59767231,33.57867503,Acer barbatum
-122.62244285,45.46440264,Acer circinatum
-119.00039962,47.73640212,Acer glabrum
-109.88872323,37.31297905,Acer grandidentatum
-84.91702762,33.58328551,Acer leucoderme
-123.86471001,45.85231948,Acer macrophyllum
-95.58068796,41.67445483,Acer negundo
-86.2782069,40.83308769,Acer nigrum
-73.07215299,44.17556599,Acer pensylvanicum
-82.13889597,39.85162253,Acer rubrum
-85.53107114,39.77665969,Acer saccharinum
-81.43579896,42.96243248,Acer saccharum
-80.28365766,47.16829714,Acer spicatum
-80.93729163,25.37363451,Acoelorrhaphe wrightii
-121.60650011,38.40645045,Aesculus californica
-90.66001389,37.76691576,Aesculus glabra
-83.18489795,37.34317073,Aesculus octandra
-86.53651186,32.58827547,Aesculus parviflora
-88.57842114,32.58879513,Aesculus pavia
-82.25058675,34.79912042,Aesculus sylvatica
-114.11353161,36.17051598,Agave utahensis
-80.3953261,37.56528423,Alnus maritima
-109.95565269,33.42853355,Alnus oblongifolia
-121.31822418,40.59698906,Alnus rhombifolia
-127.24440555,50.56397208,Alnus rubra
-96.09931482,53.63002252,Alnus rugosa
-82.87299992,36.26601239,Alnus serrulata
-129.77412903,54.15993769,Alnus sinuata
-126.91577085,56.8990347,Alnus tenuifolia
-80.57248182,25.46945294,Alvaradoa amorphoides
-116.57293465,53.65961124,Amelanchier alnifolia
-82.36172152,40.70027366,Amelanchier arborea
-92.41992839,46.39027159,Amelanchier interior
-81.94011872,45.24247929,Amelanchier sanguinea
-108.97942153,38.12133101,Amelanchier utahensis
-80.24224871,25.74968068,Amphitecna latifolia
-80.30727767,25.65427175,Amyris balsamifera
-80.57594029,26.24428644,Amyris elemifera
-81.08639566,26.49534835,Annona glabra
-84.81108392,34.62433891,Aralia spinosa
-106.71436698,26.4389209,Arbutus arizonica
-123.19740389,44.01989581,Arbutus menziesii
-100.41407587,29.41062851,Arbutus texana
-112.99103175,33.27910635,Arctostaphylos pringlei
-80.8866098,26.57391606,Ardisia escallonioides
-112.96478219,42.86709073,Artemisia tridentata
-84.28800838,30.50165013,Asimina parviflora
