species, cor_pearson, cor_spearman
Abies bracteata, 0.127586321123933, 0.127981502676351
Abies fraseri, 0.17512351882847, 0.168001657331306
Abies magnifica, 0.214102462081163, 0.22666383863697
Abies procera, 0.0241673003615303, 0.0968239177735826
Abies concolor, 0.100834826682992, 0.164387017774804
Acacia choriophylla, -0.515246841664704, -0.445320197044335
Abies grandis, 0.228904211276353, 0.223005841076675
Abies amabilis, 0.196737649530658, 0.184122879949316
Acacia rigidula, -0.218418106009234, -0.226429061475941
Acacia berlandieri, -0.188658356055137, -0.228770082229486
Acacia farnesiana, 0.0835658468787884, 0.125290155322324
Acacia roemeriana, 0.312778683449615, 0.306654198630267
Acacia greggii, 0.0340511416849776, 0.0358147674517371
Acacia wrightii, -0.426634339948589, -0.452579515992455
Acacia tortuosa, -0.207799239313085, -0.21333124109673
Acer circinatum, -0.099577337482695, -0.0716823299604046
Acer barbatum, 0.273476074413942, 0.305344174736052
Abies lasiocarpa, 0.117371155471214, 0.122817087984552
Acer grandidentatum, 0.231570396460708, 0.224230858873863
Acer leucoderme, 0.123090424230396, 0.133937552457344
Acer macrophyllum, -0.0108502637141264, 0.0182309849034012
Acer nigrum, 0.425900023425155, 0.421719498544146
Acer pensylvanicum, 0.140492449907903, 0.140947958551464
Acer glabrum, -0.0373723041279368, -0.0155480471532486
Abies balsamea, 0.553106272084548, 0.569345919427801
Acoelorrhaphe wrightii, 0.553450141798183, 0.528797094472007
Aesculus californica, 0.15099262164942, 0.109015594530879
Aesculus glabra, 0.502798750479741, 0.49257281958741
Acer saccharinum, 0.523765654133248, 0.544183071481173
Aesculus octandra, 0.271609046861719, 0.265698173013367
Acer saccharum, 0.359435091745346, 0.384121213627871
Aesculus parviflora, 0.161981167231791, 0.143968696624115
Agave utahensis, 0.235672382947082, 0.233126753977715
Acer spicatum, 0.387072321392612, 0.43784884308699
Aesculus sylvatica, 0.0417300558302844, 0.0537888560897008
Acer negundo, 0.498654535871749, 0.493582208674067
Alnus maritima, 0.498392323382395, 0.533858901006903
Acer rubrum, 0.463768703415699, 0.456683164123842
